iter	Logloss
0	0.6361706454
1	0.5949685159
2	0.5563105327
3	0.5263603303
4	0.5013505174
5	0.4842975312
6	0.4669711429
7	0.4544869855
8	0.4433758087
9	0.4327248045
10	0.42463973
11	0.4160183442
12	0.4095093956
13	0.4024678302
14	0.3962709441
15	0.3910441179
16	0.387080084
17	0.3819859096
18	0.3739383725
19	0.3687635962
20	0.3645919541
21	0.3613765689
22	0.3576680255
23	0.3544674779
24	0.3506461155
25	0.3477764287
26	0.343516559
27	0.3402777351
28	0.3373035939
29	0.3356348957
30	0.3307524379
31	0.3287142183
32	0.3272543697
33	0.3246314245
34	0.3229767067
35	0.3214030933
36	0.3199077468
37	0.3186983935
38	0.3168019588
39	0.3142591721
40	0.3127701508
41	0.3112469024
42	0.3097688763
43	0.3078036034
44	0.306843977
45	0.3051337808
46	0.3038650771
47	0.3026678422
48	0.3014572476
49	0.2991641878
50	0.2963741866
51	0.2941022009
52	0.2919821381
53	0.2900958119
54	0.288207062
55	0.2870171572
56	0.2857439314
57	0.2851200131
58	0.284373463
59	0.2826814444
60	0.2812580395
61	0.2792239579
62	0.2775069341
63	0.2760774109
64	0.2745223593
65	0.2732597443
66	0.2721150322
67	0.2713937533
68	0.27082088
69	0.269734602
70	0.2689755788
71	0.2675851596
72	0.2669212803
73	0.2653800318
74	0.2640425195
75	0.2638233249
76	0.2626237255
77	0.2617721595
78	0.2607842766
79	0.2599634498
80	0.2592184663
81	0.2584616894
82	0.2572922972
83	0.2561276341
84	0.2555789384
85	0.2547002095
86	0.2538827226
87	0.252597674
88	0.2514120254
89	0.2507023033
90	0.2499129843
91	0.2488024104
92	0.247700349
93	0.2465138285
94	0.2456037101
95	0.2445970291
96	0.243937805
97	0.243114658
98	0.2426548845
99	0.2417169086
100	0.2407664154
101	0.2398115033
102	0.2391833141
103	0.2385116762
104	0.2370009305
105	0.2363315684
106	0.2355606338
107	0.2343551673
108	0.2338225506
109	0.2327353858
110	0.2320666593
111	0.2315938363
112	0.2309916425
113	0.2298871722
114	0.2284096041
115	0.2276537583
116	0.2264915041
117	0.225800728
118	0.2252225493
119	0.2246063602
120	0.2237662622
121	0.2232003792
122	0.2221330176
123	0.2217633929
124	0.2206804696
125	0.2201072564
126	0.2186202449
127	0.2176922149
128	0.2170568877
129	0.2163963189
130	0.2160005953
131	0.215229173
132	0.2148725089
133	0.2138731137
134	0.2134289905
135	0.2124305263
136	0.2113734654
137	0.2104240658
138	0.2096730082
139	0.2092963784
140	0.2087842743
141	0.2080479509
142	0.2075664086
143	0.2063068085
144	0.2059097992
145	0.2050549228
146	0.2039405213
147	0.2033414753
148	0.2026136052
149	0.2019247207
150	0.2007373579
151	0.2001342182
152	0.1998088255
153	0.1991869763
154	0.1983143213
155	0.1973891436
156	0.1965382869
157	0.1957490713
158	0.1949366239
159	0.1942135421
160	0.1937507094
161	0.1931091161
162	0.1924097093
163	0.191880669
164	0.1914460041
165	0.1911279711
166	0.1905810636
167	0.1898760114
168	0.1885658393
169	0.1879003049
170	0.1874463541
171	0.1868688994
172	0.1863213121
173	0.1859768994
174	0.1856038017
175	0.1848811041
176	0.1842260328
177	0.1835600403
178	0.1831632379
179	0.182531354
180	0.1820572158
181	0.1818227846
182	0.1814832341
183	0.1811253287
184	0.1799960157
185	0.1792596923
186	0.178737391
187	0.1779863778
188	0.1773107496
189	0.1765521698
190	0.1761366579
191	0.1755707452
192	0.1749459698
193	0.1740247971
194	0.1731705266
195	0.1728618779
196	0.1720720859
197	0.171676983
198	0.1712830181
199	0.1706815927
